BluePC ,Valor_a_prazo,Fornecedor,Quantidade_em_estoque,Marca,Fabricante,Formato,Marca_do_processador,Tipo_de_processador,Velocidade_do_processador,Tipo_de_soquete_do_processador,Numero_de_processadores,Tamanho_da_memoria,Tecnologia_da_memoria,Tipo_de_Memoria,Tamanho_do_HD,Tecnologia_do_HD,Interface_do_HD,Marca_do_chipset_de_video,Descricao_da_placa_de_video,Tipo_de_conexao,Tecnologia_de_conexao,Plataforma_de_hardware,Sistema_operacional,Peso_do_produto,Dimensoes_da_embalagem,Dimensoes_do_pacote,Codigo,Codigo_das_Imagens,Descricao_final_sobre_o_produto
12.000,12.500,InnoTech,0,InnoTech,InnoTech Inc.,Laptop,Intel,Core i7,4.5 GHz,LGA 1200,1,32 GB,DDR4,DDR4 SDRAM,2 TB,SSD,NVMe,NVIDIA,Iris Xe,Wi-Fi 6,Bluetooth 5.2,Laptop,Windows 11 Pro,2.1 Kilograms,35 x 24 x 2 cm,37 x 26 x 4 centimetros,ARD123,IMG9c8fb3,"Este laptop de alta performance da InnoTech e equipado com um processador Intel Core i7 de 4.5 GHz, 32 GB de memoria DDR4 e um SSD NVMe de 2 TB. A tela de 15 polegadas oferece imagens nitidas, e a placa de video Intel Iris Xe oferece graficos excepcionais. E perfeito para tarefas profissionais e jogos."
12.000,12.500,InnoTech,40,FutureTech,FutureTech Inc.,Laptop,AMD,Ryzen 9,4.0 GHz,Socket AM4,12,64 GB,DDR4,DDR4 SDRAM,2 TB,SSD + HDD,NVMe + SATA,AMD,Radeon RX 6900 XT,Wi-Fi 6E,Bluetooth 5.1,Laptop,Windows 11,8.0 Kilograms,50 x 40 x 15 cm,52 x 42 x 18 centimetros,ARD123,IMG4a93d7,"O laptop de alta performance da FutureTech e alimentado por um processador AMD Ryzen 9 de 12 nucleos e uma placa de video AMD Radeon RX 6900 XT. Com 64 GB de memoria DDR4 e um SSD de 2 TB, e ideal para tarefas exigentes e jogos."
12.000,12.500,InnoTech,30,UltimateGadgets,UltimateGadgets Inc.,Laptop,Intel,Core i5,3.8 GHz,LGA 1151,1,16 GB,DDR4,DDR4 SDRAM,512 GB,SSD,NVMe,Intel,UHD Graphics 750,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,6.5 Kilograms,60 x 50 x 10 cm,62 x 52 x 12 centimetros,ARD123,IMGBd6f7a,O laptop All-in-One da UltimateGadgets oferece um design elegante e desempenho solido com um processador Intel Core i5 de 3.8 GHz e uma tela de 27 polegadas. Ele possui 16 GB de memoria DDR4 e um SSD de 512 GB para armazenamento rapido. Perfeito para uso domestico e entretenimento.
12.000,12.500,InnoTech,25,Apple,Apple Inc,Laptop,AMD,Ryzen 7,3.9 GHz,Socket AM4,8,32 GB,DDR5,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG9e0c5f,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
12.000,12.500,InnoTech,25,Google,Google LLC,Laptop,AMD,Ryzen 7,3.9 GHz,LGA 1151,8,32 GB,DDR4,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGA4b2e9,"Computador Gamer Completo RGB Intel Core i5 8GB SSD 512GB Kit Gamer com Headset Monitor 20"" Windows 10 3green Premium"
12.000,12.500,InnoTech,25,Microsoft ,Microsoft ,Laptop,Intel,Core i5,4.2 GHz,LGA 1151,8,32 GB,DDR5,DDR4 SDRAM,1 TB,SSD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG13f6c8,"PC Gamer Completo Intel Core i7 16GB SSD 1TB Radeon RX 580 8GB 256 Bits 600W Monitor 21,5"" Kit Gamer Windows 10 Pro"
12.000,12.500,InnoTech,25,Amazon,Amazon,Laptop,AMD,Ryzen 7,3.9 GHz,Socket AM4,8,32 GB,DDR4,DDR4 SDRAM,2 TB,SSD,NVMe,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG7d2b8f,"PC Gamer Completo Mancer, AMD Ryzen 5 4600G, 16GB DDR4, SSD 480GB + Monitor 21"""
12.000,12.500,InnoTech,25,Facebook,BlueSoftwarePC,Laptop,AMD,Ryzen 7,4.2 GHz,Socket AM4,6,16 GB,DDR4,DDR4 SDRAM,2 TB,SSD + HDD,NVMe,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGC4a7ef,"PC Gamer Completo Mancer, AMD Ryzen 5 4600G, 16GB DDR4, SSD 480GB + Monitor 21"""
12.000,12.500,InnoTech,25,Alphabet,RedSoftwarePC,Laptop,Intel,Core i5,3.9 GHz,LGA 1151,8,32 GB,DDR4,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,AMD,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG6f183b,"PC Gamer ITX Arena, Ryzen 5 5600G, Radeon™ Graphics Vega 7, 16GB Ram, SSD 480GB, Gabinete RGB"
12.000,12.500,InnoTech,25,Tesla,GreenSoftwarePC,Laptop,Intel,Core i5,3.4 GHz,LGA 1151,8,16 GB,DDR5,DDR4 SDRAM,512 GB,SSD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG51a0be,"PC GAMER Completo Mancer, Intel Core i5, RX 550, 16GB RAM, SSD 120GB, HD 500GB + Combo Periférico Gamer + Monitor 21"""
