Valor_a_vista,Valor_a_prazo,Fornecedor,Quantidade_em_estoque,Marca,Fabricante,Formato,Marca_do_processador,Tipo_de_processador,Velocidade_do_processador,Tipo_de_soquete_do_processador,Numero_de_processadores,Tamanho_da_memoria,Tecnologia_da_memoria,Tipo_de_Memoria,Tamanho_do_HD,Tecnologia_do_HD,Interface_do_HD,Marca_do_chipset_de_video,Descricao_da_placa_de_video,Tipo_de_conexao,Tecnologia_de_conexao,Plataforma_de_hardware,Sistema_operacional,Peso_do_produto,Dimensoes_da_embalagem,Dimensoes_do_pacote,Codigo,Codigo_das_Imagens,Descricao_final_sobre_o_produto
12000,12500,InnoTech,25,Computador Gamer PC Completo RGB da Google LLC com processador AMD Ryzen 7 de 3.9 GHz e placa de vídeo NVIDIA RTX 3060,Microsoft ,Laptop,Intel,Core i5,4.2 GHz,LGA 1151,8,32 GB,DDR5,DDR4 SDRAM,1 TB,SSD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG13f6c8," PC Completo Intel Core i7 16GB SSD 1TB Radeon RX 580 8GB 256 Bits 600W Monitor 21,5"" Kit Gamer Windows 10 Pro"
12000,12500,InnoTech,25,PC Completo da Microsoft apresentando um eficiente processador Intel Core i5 de 4.2 GHz e placa de vídeo NVIDIA RTX 3060,Amazon,Laptop,AMD,Ryzen 7,3.9 GHz,Socket AM4,8,32 GB,DDR4,DDR4 SDRAM,2 TB,SSD,NVMe,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG7d2b8f," PC Completo Mancer, AMD Ryzen 5 4600G, 16GB DDR4, SSD 480GB + Monitor 21"""
12000,12500,InnoTech,25,PC equipado com processador AMD Ryzen 7 de 3.9 GHz e placa de vídeo AMD Radeon RX 6700 XT,BlueSoftwarePC,Laptop,AMD,Ryzen 7,4.2 GHz,Socket AM4,6,16 GB,DDR4,DDR4 SDRAM,2 TB,SSD + HDD,NVMe,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGC4a7ef," PC Completo Mancer, AMD Ryzen 5 4600G, 16GB DDR4, SSD 480GB + Monitor 21"""
12000,12500,InnoTech,25,PC Completo da BlueSoftwarePC com processador AMD Ryzen 7 de 4.2 GHz e placa de vídeo AMD Radeon RX 6700 XT,RedSoftwarePC,Laptop,Intel,Core i5,3.9 GHz,LGA 1151,8,32 GB,DDR4,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,AMD,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG6f183b," PC ITX Arena, Ryzen 5 5600G, Radeona Graphics Vega 7, 16GB Ram, SSD 480GB, Gabinete RGB"
12000,12500,InnoTech,25,ITX Arena da RedSoftwarePC com processador Intel Core i5 de 3.9 GHz e placa de vídeo NVIDIA RTX 3060,GreenSoftwarePC,Laptop,Intel,Core i5,3.4 GHz,LGA 1151,8,16 GB,DDR5,DDR4 SDRAM,512 GB,SSD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG51a0be," PC Completo Mancer, Intel Core i5, RX 550, 16GB RAM, SSD 120GB, HD 500GB + Combo Perifarico Gamer + Monitor 21"""
12000,12500,InnoTech,25,PC Completo Mancer da GreenSoftwarePC apresentando processador Intel Core i5 RX 550 16GB RAM e SSD 120GB,BlueSoftwarePC,Laptop,AMD,Ryzen 9,3.4 GHz,Socket AM4,6,32 GB,DDR4,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG0d5f7a," AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC a NLI84302"
12000,12500,InnoTech,25,AMD RYZEN 5 5600G da BlueSoftwarePC com 16GB de RAM SSD 480GB e placa de vídeo NVIDIA RTX 3060,RedSoftwarePC,Laptop,AMD,Ryzen 7,3.9 GHz,LGA 1151,8,32 GB,DDR4,DDR4 SDRAM,2 TB,SSD + HDD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG29c6d1," AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC a NLI84302"
12000,12500,InnoTech,25,AMD RYZEN 5 5600G da BlueSoftwarePC com 16GB de RAM SSD 480GB e placa de vídeo NVIDIA RTX 3060,GreenSoftwarePC,Laptop,Intel,Core i5,3.9 GHz,LGA 1151,6,16 GB,DDR5,DDR4 SDRAM,1 TB,SSD + HDD,NVMe,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG8bfc3e," PC Completo Intel Core i7 16GB SSD 1TB Radeon RX 580 8GB 256 Bits 600W Monitor 21,5"" Kit Gamer Windows 10 Pro"
12000,12500,InnoTech,25,AMD RYZEN 5 5600G da RedSoftwarePC equipado com 16GB de RAM SSD 480GB e placa de vídeo AMD Radeon RX 6700 XT,BluePC,Laptop,AMD,Ryzen 7,3.4 GHz,Socket AM4,8,32 GB,DDR4,DDR4 SDRAM,512 GB,SSD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG72049c,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
12000,12500,InnoTech,25,PC Completo da GreenSoftwarePC com processador Intel Core i5 de 3.4 GHz e placa de vídeo AMD Radeon RX 6700 XT ,Chip7 Informatica,Laptop,Intel,Core i5,3.9 GHz,LGA 1151,8,32 GB,DDR5,DDR4 SDRAM,1 TB,SSD + HDD,NVMe,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG5e6a3b," AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC a NLI84302"
