Codigo,Marca,Fabricante,Fornecedor,montagem_necessaria,bateria_pilha,bateria_inclusa,tipo_da_bateria,Tipo_de_soquete_do_processador,Peso_do_produto,Dimensoes_da_embalagem,Codigo,Quantidade_em_estoque,User_Id,Valor_a_vista,Valor_a_prazo,Codigo_das_Imagens,Dimensoes_do_pacote,Descricao_final_sobre_o_produto
ARD123,"Samsung Galaxy S21",InnoTech,ABC Suppliers,SIM,NAO,NAO,Lítio,Socket123,1.5 kg,20x15x5 cm,67890,50,1234,500.00,550.00,9876,25x20x8 cm,"Este é um smartphone incrível da Samsung, o Galaxy S21, que atende a todas as suas necessidades tecnológicas com estilo e desempenho excepcionais."
ARD123,"Apple MacBook Pro",InnoTech,XYZ Distributors,NAO,SIM,NAO,Alcalina,Socket456,2.0 kg,25x18x6 cm,23456,30,5678,1200.00,1300.00,5432,30x25x10 cm,"O MacBook Pro da Apple oferece inovação e estilo incomparáveis, garantindo desempenho excepcional para suas necessidades profissionais e criativas."
ARD123,"HP EliteBook",InnoTech,Tech Solutions,SIM,NAO,SIM,Lítio-ion,Socket789,1.8 kg,22x16x4 cm,78901,20,9012,800.00,850.00,2109,28x22x7 cm,"O HP EliteBook é um laptop confiável e durável, projetado para atender às suas necessidades de computação profissional."
ARD123,"Dell XPS 13",InnoTech,Global IT,SIM,SIM,NAO,NiMH,Socket012,2.2 kg,28x20x8 cm,34567,40,3456,950.00,1000.00,8765,35x30x12 cm,"O Dell XPS 13 é um ultrabook que oferece inovação e desempenho em um único pacote, ideal para usuários exigentes."
ARD123,"LG OLED TV",InnoTech,Electro Mega,SIM,NAO,SIM,Lítio,Socket345,1.6 kg,18x14x3 cm,90123,15,6789,350.00,400.00,4321,22x18x6 cm,"A LG OLED TV oferece experiências visuais de alta qualidade, proporcionando imagens nítidas e cores vibrantes para sua diversão em casa."
ARD123,"Sony PlayStation 5",InnoTech,Tech Haven,NAO,NAO,SIM,Lítio,Socket678,1.7 kg,21x17x5 cm,12345,25,12345,600.00,650.00,7890,27x21x6 cm,"O PlayStation 5 da Sony é uma inovação em cada detalhe, proporcionando uma experiência de jogo imersiva e de última geração."
ARD123,"Lenovo ThinkPad",InnoTech,Global IT,SIM,NAO,NAO,Lítio,Socket901,1.9 kg,24x19x7 cm,67890,35,5678,700.00,750.00,9012,33x28x10 cm,"O Lenovo ThinkPad oferece poder e confiabilidade em um único dispositivo, atendendo às necessidades profissionais e corporativas."
ARD123,"Acer Predator Helios 300",InnoTech,Tech Solutions,SIM,SIM,NAO,Alcalina,Socket234,2.1 kg,26x18x6 cm,23456,22,9012,450.00,500.00,5678,26x22x8 cm,"O Acer Predator Helios 300 proporciona desempenho excepcional para suas necessidades diárias de jogos e entretenimento."
ARD123,"Asus ZenBook",InnoTech,ABC Suppliers,NAO,SIM,NAO,Lítio-ion,Socket567,1.8 kg,23x15x4 cm,78901,28,3456,550.00,600.00,2109,29x24x7 cm,"O Asus ZenBook combina design elegante com potência, oferecendo uma experiência premium em um único pacote."
ARD123,"Toshiba Portégé",InnoTech,Electro Mega,SIM,NAO,SIM,NiMH,Socket012,2.0 kg,27x21x5 cm,34567,18,6789,400.00,450.00,8765,31x26x9 cm,"O Toshiba Portégé oferece inovação confiável para atender às suas necessidades profissionais em um laptop leve e portátil."
ARD123,"Microsoft Surface Pro 7",InnoTech,Tech Haven,SIM,NAO,SIM,Lítio,Socket345,1.5 kg,19x16x3 cm,90123,23,12345,650.00,700.00,4321,24x20x6 cm,"O Microsoft Surface Pro 7 oferece tecnologia avançada para potencializar sua produtividade em um dispositivo versátil e portátil."
ARD123,"IBM ThinkCentre",InnoTech,Global IT,SIM,NAO,NAO,Lítio,Socket678,1.6 kg,22x18x4 cm,12345,32,5678,500.00,550.00,7890,28x23x7 cm,"O IBM ThinkCentre oferece soluções tecnológicas robustas para suas necessidades empresariais, garantindo desempenho e confiabilidade."
ARD123,"Intel Core i9",InnoTech,ABC Suppliers,NAO,SIM,NAO,Alcalina,Socket901,2.2 kg,25x20x6 cm,67890,20,9012,750.00,800.00,9012,35x30x10 cm,"O processador Intel Core i9 oferece potência e eficiência para suas demandas de processamento, ideal para usuários exigentes."
ARD123,"AMD Ryzen 9",InnoTech,Electro Mega,SIM,SIM,NAO,Lítio-ion,Socket234,1.7 kg,20x14x5 cm,23456,40,3456,550.00,600.00,5678,25x21x8 cm,"O processador AMD Ryzen 9 oferece desempenho excepcional para entusiastas e profissionais que buscam alto poder de processamento."
