Codigo, Fornecedor, Marca,Fabricante, Tipo_de_Hardware, Arquitetura,Velocidade_do_Clock,Nucleos_e_Threads,Capacidade_de_Armazenamento,Tamanho_da_Memoria_RAM, Conectividade,Tamanho_Fisico, Peso_do_produto, Consumo_de_Energia, Compatibilidade,Interfaces, Drivers,Outras_Caracteristicas,Valor_a_vista,Valor_a_prazo, Codigo_das_Imagens,Dimensoes_do_pacote,Descricao_final_sobre_o_produto,Quantidade_em_estoque,Peso_do_produto
ARD123, InnoTech, NVIDIA RTX 3060 6GB GDDR6, InnoTech, Placa de Vídeo, N/A,1.8 GHz,384 núcleos,8 GB, 16 GB,PCIe 3.0 x16, 10x4x1 cm,0.7 kg, 120W, Windows,HDMI, N/A,Suporte a Ray Tracing, 599.99,649.99, NV3001, 20x12x5 cm, Placa de vídeo de alta performance da NVIDIA com suporte a Ray Tracing.,12,2.1 Kilograms
ARD123, InnoTech, NVIDIA RTX 3060 6GB GDDR6, InnoTech, Placa de Vídeo, N/A,1.8 GHz,384 núcleos,8 GB, 16 GB,PCIe 3.0 x16, 10x4x1 cm,0.7 kg, 120W, Windows,HDMI, N/A,Suporte a Ray Tracing, 599.99,649.99, NV3001, 20x12x5 cm, Placa de vídeo de alta performance da NVIDIA com suporte a Ray Tracing.,40,8.0 Kilograms
ARD123, InnoTech, NVIDIA  RTX 3070 6GB GDDR6, InnoTech, Placa de Vídeo, N/A,1.8 GHz,384 núcleos,8 GB, 16 GB,PCIe 3.0 x16, 10x4x1 cm,0.7 kg, 120W, Windows,HDMI, N/A,Suporte a Ray Tracing, 599.99,649.99, NV3001, 20x12x5 cm, Placa de vídeo de alta performance da NVIDIA com suporte a Ray Tracing.,30,6.5 Kilograms
ARD123, InnoTech, NVIDIA RTX 2060 6GB GDDR5, InnoTech, Placa de Vídeo, N/A,1.8 GHz,384 núcleos,8 GB, 16 GB,PCIe 3.0 x16, 10x4x1 cm,0.7 kg, 120W, Windows,HDMI, N/A,Suporte a Ray Tracing, 599.99,649.99, NV3001, 20x12x5 cm, Placa de vídeo de alta performance da NVIDIA com suporte a Ray Tracing.,25,7.2 Kilograms
ARD123, InnoTech, AMD RX 550, AMD, Placa de Vídeo, N/A, 2.2 GHz, 512 núcleos, 12 GB, 32 GB, PCIe 4.0 x16, 12x5x2 cm, 0.8 kg, 150W, Windows/Linux, DisplayPort, USB-C, Suporte a Ray Tracing, 699.99, 749.99, AMD4500, 25x15x6 cm, Placa de vídeo avançada da AMD com suporte a Ray Tracing.,25,7.2 Kilograms
ARD123, InnoTech, NVIDIA RTX 4070 6GB GDDR6, Gigabyte, Placa de Vídeo, N/A, 2.5 GHz, 768 núcleos, 16 GB, 24 GB, PCIe 4.0 x16, 11x4x1.5 cm, 0.6 kg, 180W, Windows, HDMI, DisplayPort, Suporte a DLSS, 799.99, 849.99, GV5000, 22x13x4 cm, Placa de vídeo de última geração da NVIDIA com suporte a DLSS.,25,7.2 Kilograms
ARD126, InnoTech, AMD RX 550, ASUS, Placa de Vídeo, N/A, 2.0 GHz, 448 núcleos, 10 GB, 28 GB, PCIe 3.0 x16, 10x3.5x1 cm, 0.5 kg, 130W, Windows/Linux, DVI, HDMI, Suporte a FreeSync, 549.99, 599.99, ASUS300, 18x10x3 cm, Placa de vídeo com tecnologia FreeSync da ASUS.,25,7.2 Kilograms
ARD127, InnoTech, NVIDIA RTX 4070 6GB GDDR6, MSI, Placa de Vídeo, N/A, 2.3 GHz, 640 núcleos, 14 GB, 20 GB, PCIe 4.0 x16, 11.5x4.5x2 cm, 0.7 kg, 160W, Windows, DisplayPort, USB-C, Suporte a G-Sync, 679.99, 729.99, MSI5500, 23x14x5 cm, Placa de vídeo premium da MSI com tecnologia G-Sync.,25,7.2 Kilograms
ARD128, InnoTech, AMD  RX 550, Zotac, Placa de Vídeo, N/A, 2.1 GHz, 480 núcleos, 8 GB, 16 GB, PCIe 3.0 x16, 10.5x3.8x1.2 cm, 0.6 kg, 140W, Windows/Linux, HDMI, DisplayPort, Suporte a Vulkan, 499.99, 549.99, ZT400, 19x11x3 cm, Placa de vídeo com suporte a Vulkan da Zotac.,25,7.2 Kilograms
ARD129, InnoTech, NVIDIA RTX 4060 6GB GDDR6, XFX, Placa de Vídeo, N/A, 2.4 GHz, 704 núcleos, 12 GB, 24 GB, PCIe 4.0 x16, 12x5x1.5 cm, 0.8 kg, 170W, Windows, HDMI, DisplayPort, Suporte a DirectX 12, 749.99, 799.99, XFX700, 21x12x4 cm, Placa de vídeo avançada com suporte a DirectX 12.,25,7.2 Kilograms
